brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure,min_price,max_price,avg_price,warranty_years,warranty_mileage,price_category,sales_level,brand_popularity,anomaly_score,is_anomaly
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/de7a9eb4f0ee44249fd9f8d53837e2d7~tplv-resize:640:0.png?psm=motor.rank.data,51743,"[3.58, 4.68]",上汽通用五菱,1,微型车,纯电动,2025.02,3年或12万公里,3.58,4.68,4.13,3.0,120000.0,经济型,高销量,14,0.00032397310415110167,False
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a3483cc2bbb74c24adf62dd6ed0760fa~tplv-resize:640:0.png?psm=motor.rank.data,51173,"[26.35, 31.35]",特斯拉中国,2,中型SUV,纯电动,2025.03,4年或8万公里,26.35,31.35,28.85,4.0,80000.0,高端,高销量,2,0.0023163535371008093,False
吉利银河,星愿,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/871db3c1799742788178133ace09ce2e~tplv-resize:640:0.png?psm=motor.rank.data,48080,"[6.58, 9.58]",吉利银河,3,小型车,纯电动,2025.1,6年或15万公里,6.58,9.58,8.08,6.0,150000.0,经济型,中等销量,11,0.0002684141753266373,False
日产,轩逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ecc4bc88c3f146dca8180b4932f217b7~tplv-resize:640:0.png?psm=motor.rank.data,33323,"[6.99, 16.49]",东风日产,4,紧凑型车,汽油,2025.08,3年或10万公里,6.99,16.49,11.739999999999998,3.0,100000.0,中端,中等销量,9,0.003908856533799231,True
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/02771d79bfea4f24bb6fab711346d7c3~tplv-resize:640:0.png?psm=motor.rank.data,30283,"[6.98, 9.38]",比亚迪,5,紧凑型车,插电式混合动力,2025.02,6年或15万公里,6.98,9.38,8.18,6.0,150000.0,经济型,中等销量,41,0.0004413009755077544,False
吉利汽车,博越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/46af725ac086438e951af24db1b51e88~tplv-resize:640:0.png?psm=motor.rank.data,28090,"[9.29, 14.27]",吉利汽车,6,紧凑型SUV,汽油,2025.05,4年或10万公里,9.29,14.27,11.78,4.0,100000.0,中端,中等销量,8,0.00045654672758044246,False
比亚迪,元UP,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/1672568a472a483dbe2b887dda83059e~tplv-resize:640:0.png?psm=motor.rank.data,25919,"[7.48, 10.98]",比亚迪,7,小型SUV,纯电动,2025.07,6年或15万公里,7.48,10.98,9.23,6.0,150000.0,经济型,中等销量,41,0.00014942464116787427,False
比亚迪,海鸥,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c9079d51a70f4fcd998ca89ad7badb57~tplv-resize:640:0.png?psm=motor.rank.data,25252,"[6.38, 8.28]",比亚迪,8,小型车,纯电动,2025.02,6年或15万公里,6.38,8.28,7.33,6.0,150000.0,经济型,中等销量,41,0.0002886631835255371,False
大众,速腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a97e90692eda4d20b40c5b8593f89119~tplv-resize:640:0.png?psm=motor.rank.data,24622,"[9.79, 13.19]",一汽-大众,9,紧凑型车,汽油,2025.09,3年或10万公里,9.79,13.19,11.489999999999998,3.0,100000.0,中端,中等销量,25,0.00043921756866342526,False
长安启源,长安Lumin,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c336a2b3eec84515b0d87cbc83167a4d~tplv-resize:640:0.png?psm=motor.rank.data,23188,"[3.39, 6.99]",长安启源,10,微型车,纯电动,2025.02,3年或12万公里,3.39,6.99,5.19,3.0,120000.0,经济型,中等销量,6,0.0005251508271905308,False
小米汽车,小米YU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,22369,"[25.35, 32.99]",小米汽车,11,中大型SUV,纯电动,2025.06,5年或10万公里,25.35,32.99,29.17,5.0,100000.0,高端,中等销量,2,0.0010412842123311591,False
大众,朗逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cc361a748b8f4e8ebd1fa6b981dd211b~tplv-resize:640:0.png?psm=motor.rank.data,22310,"[7.99, 11.89]",上汽大众,12,紧凑型车,汽油,2024.1,3年或10万公里,7.99,11.89,9.940000000000001,3.0,100000.0,经济型,中等销量,25,0.00047248819979041465,False
比亚迪,海豚,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ff889bf1247e4187a0137ad1b4c80abd~tplv-resize:640:0.png?psm=motor.rank.data,21671,"[8.38, 11.78]",比亚迪,13,小型车,纯电动,2025.02,6年或15万公里,8.38,11.78,10.08,6.0,150000.0,中端,中等销量,41,0.000631484736597179,False
AITO,问界M8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5dd7baa13f2349d6adbab30c5f58e168~tplv-resize:640:0.png?psm=motor.rank.data,21244,"[35.98, 44.98]",赛力斯汽车,14,大型SUV,增程式,2025.04,4年或10万公里,35.98,44.98,40.48,4.0,100000.0,豪华型,中等销量,4,0.002898233888750595,False
比亚迪,海狮06EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,20956,"[14.38, 16.38]",比亚迪,15,中型SUV,纯电动,2025.07,6年或15万公里,14.38,16.38,15.379999999999999,6.0,150000.0,中端,中等销量,41,0.0018706695654170785,False
丰田,凯美瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c9f5aa2789ee431883f912465dad6047~tplv-resize:640:0.png?psm=motor.rank.data,20517,"[17.18, 25.98]",广汽丰田,16,中型车,汽油,2025.07,3年或10万公里,17.18,25.98,21.58,3.0,100000.0,高端,中等销量,22,0.000399962258113028,False
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5f69378961354324b2c55d5a917661f4~tplv-resize:640:0.png?psm=motor.rank.data,20352,"[23.55, 33.95]",特斯拉中国,17,中型车,纯电动,2025.1,4年或8万公里,23.55,33.95,28.75,4.0,80000.0,高端,中等销量,2,0.0004324413752707785,False
丰田,RAV4荣放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aaf3143e1177415eb37359b9df0ca35d~tplv-resize:640:0.png?psm=motor.rank.data,19712,"[12.38, 19.28]",一汽丰田,18,紧凑型SUV,汽油,2024.09,3年或10万公里,12.38,19.28,15.830000000000002,3.0,100000.0,中端,中等销量,22,0.0003296153946323632,False
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2e2a77aae04d47f592ec2f01d93780a9~tplv-resize:640:0.png?psm=motor.rank.data,19579,"[21.59, 29.99]",小米汽车,19,中大型车,纯电动,2024.03,5年或10万公里,21.59,29.99,25.79,5.0,100000.0,高端,中等销量,2,0.00027237456919294384,False
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,19441,"[14.58, 26.68]",上汽大众,20,中型SUV,汽油,2025.09,3年或10万公里,14.58,26.68,20.63,3.0,100000.0,高端,中等销量,25,0.002021205220961586,False
大众,帕萨特,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png?psm=motor.rank.data,18592,"[15.99, 30.98]",上汽大众,21,中型车,汽油,2025.09,3年或10万公里,15.99,30.98,23.485,3.0,100000.0,高端,中等销量,25,0.0038791726951393187,True
长安,逸动,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e0d9676066014f75a9f63c3a74d969ef~tplv-resize:640:0.png?psm=motor.rank.data,18224,"[3.99, 8.49]",长安汽车,22,紧凑型车,汽油,2025.09,3年或10万公里,3.99,8.49,6.24,3.0,100000.0,经济型,中等销量,14,0.000968162507154802,False
吉利汽车,星越L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,17869,"[12.97, 16.67]",吉利汽车,23,紧凑型SUV,汽油,2025.09,5年或15万公里,12.97,16.67,14.82,5.0,150000.0,中端,中等销量,8,0.0008145969717252785,False
比亚迪,秦L DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bd39ba753b9c4393b21bd28ad5603bed~tplv-resize:640:0.png?psm=motor.rank.data,17734,"[8.78, 14.38]",比亚迪,24,中型车,插电式混合动力,2025.02,6年或15万公里,8.78,14.38,11.58,6.0,150000.0,中端,中等销量,41,0.00018842753555836777,False
大众,迈腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png?psm=motor.rank.data,17613,"[13.98, 22.39]",一汽-大众,25,中型车,汽油,2025.1,3年或10万公里,13.98,22.39,18.185000000000002,3.0,100000.0,中端,中等销量,25,0.00017559981015382507,False
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/413defba9aa74f2892f7f7ced70ce53a~tplv-resize:640:0.png?psm=motor.rank.data,17524,"[9.09, 12.49]",长城汽车,26,紧凑型SUV,汽油,2025.07,3年或10万公里,9.09,12.49,10.79,3.0,100000.0,中端,中等销量,7,0.0005135082715675536,False
比亚迪,海豹06DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/95f3af7983e74c418ed01255d3238efa~tplv-resize:640:0.png?psm=motor.rank.data,17296,"[8.78, 13.18]",比亚迪,27,中型车,插电式混合动力,2025.02,6年或15万公里,8.78,13.18,10.98,6.0,150000.0,中端,中等销量,41,0.00025342281205584336,False
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9bae5a357d244e0fbef2d9d35d1dad81~tplv-resize:640:0.png?psm=motor.rank.data,16011,"[31.24, 55.89]",一汽奥迪,28,中大型车,汽油,2025.1,3年或10万公里,31.24,55.89,43.565,3.0,100000.0,豪华型,中等销量,13,0.008779915158652802,True
大众,探岳,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/59238f446c094ac786ce6900909f6fe5~tplv-resize:640:0.png?psm=motor.rank.data,15999,"[14.69, 22.69]",一汽-大众,29,中型SUV,汽油,2025.09,3年或10万公里,14.69,22.69,18.69,3.0,100000.0,中端,中等销量,25,0.00010318327748863421,False
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9806ab780da34d2897aeb01e830b1794~tplv-resize:640:0.png?psm=motor.rank.data,15737,"[9.08, 14.88]",一汽丰田,30,紧凑型SUV,汽油,2024.06,3年或10万公里,9.08,14.88,11.98,3.0,100000.0,中端,中等销量,22,0.0001446936981265598,False
奇瑞,瑞虎8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d021bb41298c4273b67003fdef0e146b~tplv-resize:640:0.png?psm=motor.rank.data,15656,"[7.99, 15.99]",奇瑞汽车,31,中型SUV,汽油,2024.09,3年或10万公里,7.99,15.99,11.99,3.0,100000.0,中端,中等销量,10,0.0007187486679875296,False
小鹏汽车,小鹏MONA M03,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0ccd41905bb54e38a0364c8d3d353647~tplv-resize:640:0.png?psm=motor.rank.data,14424,"[11.98, 13.98]",小鹏汽车,32,紧凑型车,纯电动,2025.05,5年或12万公里,11.98,13.98,12.98,5.0,120000.0,中端,中等销量,6,0.0011697920748489179,False
本田,本田CR-V,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/541410e4d8134f54ab910e4d8fc59005~tplv-resize:640:0.png?psm=motor.rank.data,14345,"[14.09, 21.89]",东风本田,33,紧凑型SUV,汽油,2025.09,3年或10万公里,14.09,21.89,17.990000000000002,3.0,100000.0,中端,中等销量,26,0.0003163327390406552,False
红旗,红旗H5,https://p3-dcd.byteimg.com/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png?psm=motor.rank.data,14096,"[11.48, 17.08]",一汽红旗,34,中型车,汽油,2024.09,4年或10万公里,11.48,17.08,14.28,4.0,100000.0,中端,中等销量,18,0.00021564429630988475,False
吉利汽车,缤越,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,13968,"[5.88, 8.68]",吉利汽车,35,小型SUV,汽油,2024.07,4年或10万公里,5.88,8.68,7.279999999999999,4.0,100000.0,经济型,中等销量,8,0.0006725225168779073,False
丰田,锋兰达,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0b690e1df2264d458f4fd54c6a0af971~tplv-resize:640:0.png?psm=motor.rank.data,13715,"[12.58, 18.48]",广汽丰田,36,紧凑型SUV,汽油,2025.09,3年或10万公里,12.58,18.48,15.530000000000001,3.0,100000.0,中端,中等销量,22,0.0002212346800521005,False
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c98a0ac532b542958b9970362fa2c378~tplv-resize:640:0.png?psm=motor.rank.data,13640,"[8.99, 12.89]",奇瑞汽车,37,紧凑型车,汽油,2025.03,3年或10万公里,8.99,12.89,10.940000000000001,3.0,100000.0,中端,中等销量,10,0.00026730536189269584,False
比亚迪,宋Pro DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/37e8e497ea194f32804dd131b571249d~tplv-resize:640:0.png?psm=motor.rank.data,13542,"[8.98, 12.58]",比亚迪,38,紧凑型SUV,插电式混合动力,2025.02,6年或15万公里,8.98,12.58,10.780000000000001,6.0,150000.0,中端,中等销量,41,0.0002897947668535804,False
本田,雅阁,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8fb97d323f40418e817aacb90ae8f644~tplv-resize:640:0.png?psm=motor.rank.data,13230,"[13.68, 19.58]",广汽本田,39,中型车,汽油,2025.03,3年或10万公里,13.68,19.58,16.63,3.0,100000.0,中端,中等销量,26,0.0002188261576762884,False
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,13163,"[11.59, 14.59]",深蓝汽车,40,紧凑型SUV,纯电动,2025.08,3年或12万公里,11.59,14.59,13.09,3.0,120000.0,中端,中等销量,5,0.0005589459449806436,False
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,13103,"[43.18, 57.98]",北京奔驰,41,中大型车,48V轻混系统,2025.03,3年不限公里,43.18,57.98,50.58,3.0,,豪华型,中等销量,12,0.0005762471220822203,False
吉利银河,熊猫,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/78ca006700884c30ad75d407f626e606~tplv-resize:640:0.png?psm=motor.rank.data,13058,"[2.89, 4.69]",吉利银河,42,微型车,纯电动,2025.04,3年或12万公里,2.89,4.69,3.79,3.0,120000.0,经济型,中等销量,11,0.0008339667867038999,False
吉利银河,银河A7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4f70bedcadc84fd99dac424c7e4d4b07~tplv-resize:640:0.png?psm=motor.rank.data,13027,"[8.18, 11.78]",吉利银河,43,中型车,插电式混合动力,2025.08,6年或15万公里,8.18,11.78,9.98,6.0,150000.0,经济型,中等销量,11,0.00023816309781753354,False
别克,昂科威,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc18eb3ac0974de39301da05d78203e4~tplv-resize:640:0.png?psm=motor.rank.data,12772,"[16.99, 19.99]",上汽通用别克,44,中型SUV,汽油,2025.09,3年或10万公里,16.99,19.99,18.49,3.0,100000.0,中端,中等销量,10,0.0011975117696042855,False
