brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/de7a9eb4f0ee44249fd9f8d53837e2d7~tplv-resize:640:0.png?psm=motor.rank.data,51743,"[3.58, 4.68]",上汽通用五菱,1,微型车,纯电动,2025.02,3年或12万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a3483cc2bbb74c24adf62dd6ed0760fa~tplv-resize:640:0.png?psm=motor.rank.data,51173,"[26.35, 31.35]",特斯拉中国,2,中型SUV,纯电动,2025.03,4年或8万公里
吉利银河,星愿,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/871db3c1799742788178133ace09ce2e~tplv-resize:640:0.png?psm=motor.rank.data,48080,"[6.58, 9.58]",吉利银河,3,小型车,纯电动,2025.10,6年或15万公里
日产,轩逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ecc4bc88c3f146dca8180b4932f217b7~tplv-resize:640:0.png?psm=motor.rank.data,33323,"[6.99, 16.49]",东风日产,4,紧凑型车,汽油,2025.08,3年或10万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/02771d79bfea4f24bb6fab711346d7c3~tplv-resize:640:0.png?psm=motor.rank.data,30283,"[6.98, 9.38]",比亚迪,5,紧凑型车,插电式混合动力,2025.02,6年或15万公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/46af725ac086438e951af24db1b51e88~tplv-resize:640:0.png?psm=motor.rank.data,28090,"[9.29, 14.27]",吉利汽车,6,紧凑型SUV,汽油,2025.05,4年或10万公里
比亚迪,元UP,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/1672568a472a483dbe2b887dda83059e~tplv-resize:640:0.png?psm=motor.rank.data,25919,"[7.48, 10.98]",比亚迪,7,小型SUV,纯电动,2025.07,6年或15万公里
比亚迪,海鸥,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c9079d51a70f4fcd998ca89ad7badb57~tplv-resize:640:0.png?psm=motor.rank.data,25252,"[6.38, 8.28]",比亚迪,8,小型车,纯电动,2025.02,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a97e90692eda4d20b40c5b8593f89119~tplv-resize:640:0.png?psm=motor.rank.data,24622,"[9.79, 13.19]",一汽-大众,9,紧凑型车,汽油,2025.09,3年或10万公里
长安启源,长安Lumin,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c336a2b3eec84515b0d87cbc83167a4d~tplv-resize:640:0.png?psm=motor.rank.data,23188,"[3.39, 6.99]",长安启源,10,微型车,纯电动,2025.02,3年或12万公里
小米汽车,小米YU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,22369,"[25.35, 32.99]",小米汽车,11,中大型SUV,纯电动,2025.06,5年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cc361a748b8f4e8ebd1fa6b981dd211b~tplv-resize:640:0.png?psm=motor.rank.data,22310,"[7.99, 11.89]",上汽大众,12,紧凑型车,汽油,2024.10,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ff889bf1247e4187a0137ad1b4c80abd~tplv-resize:640:0.png?psm=motor.rank.data,21671,"[8.38, 11.78]",比亚迪,13,小型车,纯电动,2025.02,6年或15万公里
AITO,问界M8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5dd7baa13f2349d6adbab30c5f58e168~tplv-resize:640:0.png?psm=motor.rank.data,21244,"[35.98, 44.98]",赛力斯汽车,14,大型SUV,增程式,2025.04,4年或10万公里
